sample_id,question,gold_answer,round_1_answers,single_agent_baseline_answer,majority_voting_baseline_answer,scrd_final_answer,single_agent_correct,majority_voting_correct,scrd_correct,effective_rounds_used,actual_rounds_executed,stop_reason,single_agent_total_tokens,majority_vote_total_tokens,scrd_total_tokens,scrd_prompt_tokens,scrd_completion_tokens,agent_total_tokens,recorder_total_tokens,evaluator_total_tokens,repair_brief_total_tokens,repair_evaluator_total_tokens,repair_agent_total_tokens,trace_found,trace_path,usage_records_count,final_trace_rounds,execution_events_count,rollback_events,repair_round_events,stable_consensus_events,round_usage_summary_json,component_token_from_trace_json,change_vs_majority,change_vs_single_agent
gsm8k_0001,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",72,"['72', '72', '72']",72,72,72,True,True,True,2,2,early_stop,242,731,4138,3729,409,2249,1407,482,0,0,0,True,C:\Users\chen\Desktop\MY_MAD\outputs\traces\gsm8k_0001_trace.json,9,2,2,0,0,0,"{""1"": 1376, ""2"": 2762}","{""agent_round_1"": 731, ""recorder"": 1407, ""agent_normal"": 1518, ""evaluator"": 482}",both_correct,same_outcome
gsm8k_0002,"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",10,"['10 dollars', '10 dollars', '10 dollars']",10 dollars,10 dollars,10 dollars,True,True,True,4,4,early_stop,226,681,10375,9120,1255,5432,3433,1510,0,0,0,True,C:\Users\chen\Desktop\MY_MAD\outputs\traces\gsm8k_0002_trace.json,19,4,4,0,0,0,"{""1"": 1284, ""2"": 3021, ""3"": 3154, ""4"": 2916}","{""agent_round_1"": 681, ""recorder"": 3433, ""agent_normal"": 4751, ""evaluator"": 1510}",both_correct,same_outcome
gsm8k_0003,"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?",5,"['25', '25', '20']",25,25,5,False,False,True,5,5,max_round,260,784,17438,14655,2783,9334,5700,2404,0,0,0,True,C:\Users\chen\Desktop\MY_MAD\outputs\traces\gsm8k_0003_trace.json,24,5,5,0,0,0,"{""1"": 1432, ""2"": 3230, ""3"": 3580, ""4"": 4286, ""5"": 4910}","{""agent_round_1"": 784, ""recorder"": 5700, ""agent_normal"": 8550, ""evaluator"": 2404}",improved_over_majority,improved_over_single
gsm8k_0004,"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?",42,"['42', '42', '30']",42,42,42,True,True,True,3,3,early_stop,258,781,7780,6810,970,4105,2559,1116,0,0,0,True,C:\Users\chen\Desktop\MY_MAD\outputs\traces\gsm8k_0004_trace.json,14,3,3,0,0,0,"{""1"": 1425, ""2"": 3108, ""3"": 3247}","{""agent_round_1"": 781, ""recorder"": 2559, ""agent_normal"": 3324, ""evaluator"": 1116}",both_correct,same_outcome
gsm8k_0005,James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?,624,"['1040', '52 * 2 * 3 = 312 pages', '52 * 2 * 3 = 312 pages']",1040,52 * 2 * 3 = 312 pages,312 pages,False,False,False,5,5,early_stop,232,716,13408,12164,1244,7493,3981,1934,0,0,0,True,C:\Users\chen\Desktop\MY_MAD\outputs\traces\gsm8k_0005_trace.json,24,5,5,0,0,0,"{""1"": 1407, ""2"": 2976, ""3"": 2794, ""4"": 3214, ""5"": 3017}","{""agent_round_1"": 716, ""recorder"": 3981, ""agent_normal"": 6777, ""evaluator"": 1934}",both_wrong,same_outcome
gsm8k_0006,"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?",35,"['165', '165', '150']",165,165,165,False,False,False,5,5,max_round,265,804,16676,14248,2428,8862,5358,2456,0,0,0,True,C:\Users\chen\Desktop\MY_MAD\outputs\traces\gsm8k_0006_trace.json,24,5,5,0,0,0,"{""1"": 1484, ""2"": 3426, ""3"": 3903, ""4"": 3813, ""5"": 4050}","{""agent_round_1"": 804, ""recorder"": 5358, ""agent_normal"": 8058, ""evaluator"": 2456}",both_wrong,same_outcome
gsm8k_0007,"Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?",48,"['40', '40', '40']",40,40,40,False,False,False,2,2,early_stop,255,768,4195,3802,393,2303,1396,496,0,0,0,True,C:\Users\chen\Desktop\MY_MAD\outputs\traces\gsm8k_0007_trace.json,9,2,2,0,0,0,"{""1"": 1396, ""2"": 2799}","{""agent_round_1"": 768, ""recorder"": 1396, ""agent_normal"": 1535, ""evaluator"": 496}",both_wrong,same_outcome
gsm8k_0008,"Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?",16,"['14', '14', '14']",14,14,14,False,False,False,2,2,early_stop,303,909,4486,4129,357,2600,1327,559,0,0,0,True,C:\Users\chen\Desktop\MY_MAD\outputs\traces\gsm8k_0008_trace.json,9,2,2,0,0,0,"{""1"": 1512, ""2"": 2974}","{""agent_round_1"": 909, ""recorder"": 1327, ""agent_normal"": 1691, ""evaluator"": 559}",both_wrong,same_outcome
gsm8k_0009,"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?",41,"['93', '107', '116']",93,93,47,False,False,False,4,4,early_stop,303,911,14418,12455,1963,8258,4182,1978,0,0,0,True,C:\Users\chen\Desktop\MY_MAD\outputs\traces\gsm8k_0009_trace.json,19,4,4,0,0,0,"{""1"": 1518, ""2"": 3190, ""3"": 4683, ""4"": 5027}","{""agent_round_1"": 911, ""recorder"": 4182, ""agent_normal"": 7347, ""evaluator"": 1978}",both_wrong,same_outcome
gsm8k_0010,"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?",990,"['Tina works 10 hours a day for 5 days. For the first 8 hours each day, she earns $18.00 per hour. For the remaining 2 hours, she earns $18.00 + $9.00 (half of her hourly wage) = $27.00 per hour. Regular pay: 8 hours/day * $18.00/hour * 5 days = $720.00. Overtime pay: 2 hours/day * $27.00/hour * 5 days = $270.00. Total pay: $720.00 + $270.00 = $990.00.', 'Tina works 10 hours per day for 5 days, so she works 80 regular hours and 10 overtime hours each week. Her regular pay is 80 hours * $18.00/hour = $1440.00. Her overtime pay is 10 hours * ($18.00 + $9.00) = $270.00. Therefore, her total earnings are $1440.00 + $270.00 = $1710.00.', ""Tina works 10 hours a day for 5 days. For the first 8 hours each day, she earns $18.00 per hour, so that's 8 * $18.00 = $144.00 per day. For the remaining 2 hours each day, she earns $18.00 + ($18.00 / 2) = $27.00 per hour. Therefore, her overtime pay per day is 2 * $27.00 = $54.00. Her total daily pay is $144.00 + $54.00 = $198.00. Over 5 days, she makes 5 * $198.00 = $990.00.""]","Tina works 10 hours a day for 5 days. For the first 8 hours each day, she earns $18.00 per hour. For the remaining 2 hours, she earns $18.00 + $9.00 (half of her hourly wage) = $27.00 per hour. Regular pay: 8 hours/day * $18.00/hour * 5 days = $720.00. Overtime pay: 2 hours/day * $27.00/hour * 5 days = $270.00. Total pay: $720.00 + $270.00 = $990.00.","Tina works 10 hours a day for 5 days. For the first 8 hours each day, she earns $18.00 per hour. For the remaining 2 hours, she earns $18.00 + $9.00 (half of her hourly wage) = $27.00 per hour. Regular pay: 8 hours/day * $18.00/hour * 5 days = $720.00. Overtime pay: 2 hours/day * $27.00/hour * 5 days = $270.00. Total pay: $720.00 + $270.00 = $990.00.","Tina works 10 hours a day for 5 days. The first 8 hours each day are regular hours, so her regular pay is 8 * $18.00 = $144.00 per day. The remaining 2 hours each day are overtime hours, so her overtime pay is 2 * ($18.00 + $9.00) = $54.00 per day. Therefore, her total daily pay is $144.00 + $54.00 = $198.00. Over 5 days, she makes 5 * $198.00 = $990.00.",True,True,True,4,6,rollback,421,1239,59448,50089,9359,26578,18041,6412,6666,1751,5826,True,C:\Users\chen\Desktop\MY_MAD\outputs\traces\gsm8k_0010_trace.json,31,4,9,1,1,0,"{""1"": 2953, ""2"": 7120, ""3"": 9812, ""4"": 9698, ""5"": 26525}","{""agent_round_1"": 1239, ""recorder"": 18041, ""agent_normal"": 19513, ""evaluator"": 6412, ""repair_brief_generator"": 6666, ""repair_agent"": 5826, ""repair_evaluator"": 1751}",both_correct,same_outcome
gsm8k_0011,"A deep-sea monster rises from the waters once every hundred years to feast on a ship and sate its hunger. Over three hundred years, it has consumed 847 people. Ships have been built larger over time, so each new ship has twice as many people as the last ship. How many people were on the ship the monster ate in the first hundred years?",121,"['169', '169', '211']",169,169,169,False,False,False,5,5,max_round,313,944,18701,15863,2838,10241,5833,2627,0,0,0,True,C:\Users\chen\Desktop\MY_MAD\outputs\traces\gsm8k_0011_trace.json,24,5,5,0,0,0,"{""1"": 1778, ""2"": 3604, ""3"": 4351, ""4"": 4480, ""5"": 4488}","{""agent_round_1"": 944, ""recorder"": 5833, ""agent_normal"": 9297, ""evaluator"": 2627}",both_wrong,same_outcome
gsm8k_0012,"Tobias is buying a new pair of shoes that costs $95. He has been saving up his money each month for the past three months. He gets a $5 allowance a month. He also mows lawns and shovels driveways. He charges $15 to mow a lawn and $7 to shovel. After buying the shoes, he has $15 in change. If he mows 4 lawns, how many driveways did he shovel?",5,"['5', '5', '7']",5,5,5,True,True,True,5,5,max_round,302,920,19765,16703,3062,10936,6104,2725,0,0,0,True,C:\Users\chen\Desktop\MY_MAD\outputs\traces\gsm8k_0012_trace.json,24,5,5,0,0,0,"{""1"": 1732, ""2"": 4044, ""3"": 4573, ""4"": 4703, ""5"": 4713}","{""agent_round_1"": 920, ""recorder"": 6104, ""agent_normal"": 10016, ""evaluator"": 2725}",both_correct,same_outcome
gsm8k_0013,Randy has 60 mango trees on his farm. He also has 5 less than half as many coconut trees as mango trees. How many trees does Randy have in all on his farm?,85,"['35', '35', '35']",35,35,35,False,False,False,2,2,early_stop,241,723,4105,3711,394,2229,1396,480,0,0,0,True,C:\Users\chen\Desktop\MY_MAD\outputs\traces\gsm8k_0013_trace.json,9,2,2,0,0,0,"{""1"": 1354, ""2"": 2751}","{""agent_round_1"": 723, ""recorder"": 1396, ""agent_normal"": 1506, ""evaluator"": 480}",both_wrong,same_outcome
